loan_amount,sanction_amount,net_disbursement,processing_fee,gst,income,bank_balance_at_application,employment_status,marital_status,zipcode,residence_type,age,loan_purpose,installment_start_dt,disbursal_date,principal_outstanding,default,diff,pct,valid_loan,valid_gst,valid_net_disbursement,valid_principal_outstanding,valid_bank_balance
400406,309556,234527,4564.16,393.63,16214,34109,Self-employed,Single,76363,Rented,26,Home,2023-01-01,2022-12-01,103515,0,-1.63,0.29,True,True,True,True,False
66150,382238,250574,2581.19,785.7,84935,49349,Self-employed,Divorced,95948,Owned,24,Education,2023-01-02,2022-12-02,120989,0,-1.13,0.46,True,True,False,False,False
449640,64229,379975,2682.48,604.67,25456,93627,Unemployed,Divorced,73377,Owned,38,Car,2023-01-03,2022-12-03,336189,0,1.5,0.85,False,True,False,True,True
247635,150298,249672,4984.56,696.91,57788,5755,Unemployed,Divorced,91408,Rented,59,Business,2023-01-04,2022-12-04,177828,1,0.69,0.11,True,True,True,False,True
498745,235065,418812,1760.87,411.95,132446,12024,Unemployed,Single,92987,Owned,24,Car,2023-01-05,2022-12-05,388448,0,0.39,0.9,False,True,False,True,False
236445,167358,315853,648.5,531.2,14787,53799,Unemployed,Divorced,97945,Parental,64,Education,2023-01-06,2022-12-06,295441,0,1.79,0.04,True,False,False,True,True
312538,175393,143932,3318.63,709.5,34725,56494,Salaried,Married,58876,Owned,40,Business,2023-01-07,2022-12-07,397327,0,0.32,0.14,False,False,False,True,True
206418,65184,175927,629.07,801.49,14550,8572,Salaried,Single,41919,Parental,30,Business,2023-01-08,2022-12-08,25631,0,0.71,0.99,True,False,True,False,False
449211,68894,321994,974.59,544.18,118511,20020,Unemployed,Married,75806,Owned,23,Home,2023-01-09,2022-12-09,267057,0,-0.77,0.01,False,False,False,False,False
207489,62922,291029,2472.45,235.58,80322,89687,Salaried,Married,84191,Parental,23,Home,2023-01-10,2022-12-10,323818,0,-0.69,0.81,True,True,True,True,True
292884,61945,85435,2533.3,644.66,73589,12024,Self-employed,Divorced,66497,Rented,56,Education,2023-01-11,2022-12-11,90295,1,-1.81,0.87,True,True,False,True,True
71392,423446,225360,4399.66,144.42,102369,73683,Self-employed,Divorced,92591,Parental,49,Home,2023-01-12,2022-12-12,149378,0,-0.93,0.16,False,False,True,True,False
163638,411867,115295,3513.17,601.5,32867,59801,Salaried,Divorced,52418,Rented,58,Car,2023-01-13,2022-12-13,24659,0,-1.29,0.77,False,False,True,False,True
90351,389601,315407,1206.12,193.49,122156,13404,Self-employed,Divorced,69687,Owned,64,Car,2023-01-14,2022-12-14,242469,0,-0.55,0.15,False,True,False,True,True
257294,359569,407156,4351.24,355.16,19055,34603,Unemployed,Divorced,75899,Rented,38,Education,2023-01-15,2022-12-15,113634,0,0.7,0.9,False,False,False,False,True
179940,408764,105074,3552.11,616.7,48430,38551,Self-employed,Divorced,46633,Owned,40,Home,2023-01-16,2022-12-16,233429,0,0.26,0.35,False,True,True,True,False
239022,50789,326035,4972.76,752.18,63213,71618,Salaried,Married,75114,Owned,46,Car,2023-01-17,2022-12-17,111801,0,-2.12,0.33,True,True,True,True,True
199818,310988,364806,4653.19,255.24,10386,88633,Unemployed,Single,29281,Owned,40,Car,2023-01-18,2022-12-18,282193,0,0.46,0.17,True,True,True,False,False
84707,107477,142667,2764.93,241.54,72343,91431,Self-employed,Married,64254,Rented,29,Business,2023-01-19,2022-12-19,315363,0,0.54,0.37,True,True,False,False,False
80325,63326,396633,3903.54,261.64,63073,35814,Self-employed,Divorced,61229,Parental,30,Car,2023-01-20,2022-12-20,82239,1,0.12,0.52,False,False,True,True,True
293018,462095,260236,4935.18,178.75,81333,39284,Self-employed,Married,55273,Parental,24,Home,2023-01-21,2022-12-21,327008,0,1.01,0.77,True,True,False,True,True
285424,256363,390936,2390.45,161.86,54373,61033,Salaried,Divorced,55505,Owned,33,Home,2023-01-22,2022-12-22,136637,0,0.26,0.02,False,False,True,False,True
101071,154905,458056,1141.43,482.74,107356,96723,Unemployed,Single,55012,Rented,30,Business,2023-01-23,2022-12-23,59853,0,-0.69,0.99,False,True,False,False,False
461821,152724,318823,4255.74,209.85,105042,95058,Unemployed,Single,49816,Owned,63,Business,2023-01-24,2022-12-24,60847,0,-1.32,0.15,True,True,False,True,True
195318,361380,187936,1138.8,778.33,40031,20061,Self-employed,Divorced,53608,Rented,42,Home,2023-01-25,2022-12-25,72018,0,0.48,0.26,False,False,True,True,True
168957,447500,266259,2075.84,593.68,68899,54028,Unemployed,Divorced,42382,Rented,42,Home,2023-01-26,2022-12-26,131323,0,0.62,0.37,False,True,False,True,False
393930,117288,194286,2941.97,663.87,57799,26440,Self-employed,Married,49898,Parental,38,Home,2023-01-27,2022-12-27,324437,1,-2.21,0.12,False,True,False,False,True
